datetime,temperature,humidity,air_quality,gas_status,anomaly
2026-05-26 15:43:45,28.7,63.1,53,Safe,False
2026-05-26 15:43:48,28.7,63,53,Safe,False
2026-05-26 15:43:51,28.7,63.1,49,Safe,False
2026-05-26 15:43:54,28.7,63.1,52,Safe,False
2026-05-26 15:43:58,28.7,63.1,52,Safe,False
2026-05-26 15:44:01,28.8,63,52,Safe,False
2026-05-26 15:44:04,28.7,63.1,53,Safe,False
2026-05-26 15:44:07,28.7,63.1,52,Safe,False
2026-05-26 15:44:10,28.7,63.1,54,Safe,False
2026-05-26 15:44:14,28.7,63.2,73,Safe,False
2026-05-26 15:44:17,28.8,63.1,53,Safe,False
2026-05-26 15:44:20,28.8,63.1,49,Safe,False
2026-05-26 15:44:23,28.8,63.2,60,Safe,False
2026-05-26 15:44:27,28.8,63.1,72,Safe,False
2026-05-26 15:44:30,28.7,63.2,53,Safe,False
2026-05-26 15:44:33,28.7,63.2,52,Safe,False
2026-05-26 15:44:37,28.8,63.1,53,Safe,False
2026-05-26 15:44:40,28.7,63.2,51,Safe,False
2026-05-26 15:44:44,28.7,63.2,49,Safe,False
2026-05-26 15:44:47,28.8,63.1,55,Safe,False
2026-05-26 15:44:50,28.7,63.2,48,Safe,False
2026-05-26 15:44:54,28.7,63.2,51,Safe,False
2026-05-26 15:44:57,28.8,63.1,58,Safe,False
2026-05-26 15:45:00,28.8,63.1,50,Safe,False
2026-05-26 15:45:04,28.8,63.1,0,Safe,False
2026-05-26 15:45:08,28.7,63.1,51,Safe,False
2026-05-26 15:45:11,28.8,63,47,Safe,True
2026-05-26 15:45:14,28.8,63.1,48,Safe,False
2026-05-26 15:45:18,28.8,63.1,49,Safe,False
2026-05-26 15:45:21,28.8,63.1,54,Safe,False
2026-05-26 15:45:25,28.8,63.1,53,Safe,False
2026-05-26 15:45:28,28.8,63.1,53,Safe,False
2026-05-26 15:45:31,28.7,63.2,49,Safe,False
2026-05-26 15:45:35,28.8,63.1,48,Safe,False
2026-05-26 15:45:38,28.8,63.1,51,Safe,False
2026-05-26 15:45:41,28.8,63.1,51,Safe,False
2026-05-26 15:45:45,28.7,63.2,31,Safe,False
2026-05-26 15:45:48,28.8,63.1,48,Safe,False
2026-05-26 15:45:51,28.8,63,50,Safe,True
2026-05-26 15:45:55,28.7,63.1,51,Safe,False
2026-05-26 15:45:58,28.8,63,80,Safe,False
2026-05-26 15:46:01,28.7,63.1,49,Safe,False
2026-05-26 15:46:05,28.8,62.9,50,Safe,False
2026-05-26 15:46:08,28.8,63,48,Safe,False
2026-05-26 15:46:11,28.8,65.4,48,Safe,False
2026-05-26 15:46:14,28.8,65.7,48,Safe,False
2026-05-26 15:46:18,28.9,65.2,37,Safe,False
2026-05-26 15:46:21,28.9,67.2,35,Safe,False
2026-05-26 15:46:25,29.1,72,41,Safe,False
2026-05-26 15:46:28,29.3,75.4,37,Safe,False
2026-05-26 15:46:31,29.6,77.6,37,Safe,False
2026-05-26 15:46:35,29.9,79.4,42,Safe,False
2026-05-26 15:46:38,30.2,81,32,Safe,True
2026-05-26 15:46:42,30.5,82.3,43,Safe,False
2026-05-26 15:46:45,30.8,83.4,40,Safe,False
2026-05-26 15:46:48,31,84,47,Safe,False
2026-05-26 15:46:51,31.2,84.6,42,Safe,False
2026-05-26 15:46:54,31.4,84.9,44,Safe,False
2026-05-26 15:46:58,31.7,85.4,40,Safe,False
2026-05-26 15:47:01,31.8,85.1,39,Safe,False
2026-05-26 15:47:05,31.9,83,38,Safe,True
2026-05-26 15:47:09,32,78.5,38,Safe,True
2026-05-26 15:47:12,32,74.7,41,Safe,True
2026-05-26 15:47:16,32,71,44,Safe,True
2026-05-26 15:47:19,32,67.2,42,Safe,True
2026-05-26 15:47:22,31.9,64.6,38,Safe,True
2026-05-26 15:47:26,31.9,62.3,48,Safe,True
2026-05-26 15:47:29,31.8,60.8,38,Safe,True
2026-05-26 15:47:32,31.7,59.7,38,Safe,True
2026-05-26 15:47:36,31.7,58.9,42,Safe,True
2026-05-26 15:47:39,31.6,58.2,42,Safe,True
2026-05-26 15:47:43,31.6,57.7,42,Safe,True
2026-05-26 15:47:46,31.5,57.4,37,Safe,True
2026-05-26 15:47:49,31.4,57.1,41,Safe,True
2026-05-26 15:47:53,31.4,56.9,41,Safe,True
2026-05-26 15:47:56,31.4,56.6,41,Safe,True
2026-05-26 15:48:00,31.3,56.5,39,Safe,True
2026-05-26 15:48:03,31.2,56.5,38,Safe,True
2026-05-26 15:48:06,31.1,56.4,42,Safe,True
2026-05-26 15:48:09,31.1,56.4,40,Safe,True
2026-05-26 15:48:13,31,56.4,42,Safe,False
2026-05-26 15:48:16,31,56.5,35,Safe,False
2026-05-26 15:48:20,30.9,56.6,42,Safe,False
2026-05-26 15:48:23,30.9,56.6,41,Safe,False
2026-05-26 15:48:27,30.8,56.6,42,Safe,False
2026-05-26 15:48:30,30.8,56.8,39,Safe,False
2026-05-26 15:48:34,30.7,56.9,31,Safe,True
2026-05-26 15:48:38,30.7,62.6,33,Safe,True
2026-05-26 15:48:41,30.7,65.1,39,Safe,False
2026-05-26 15:48:44,30.6,63.7,39,Safe,False
2026-05-26 15:48:47,30.6,63.1,38,Safe,False
2026-05-26 15:48:51,30.6,61.8,39,Safe,False
2026-05-26 15:48:55,30.6,60.8,0,Safe,True
2026-05-26 15:48:59,30.5,60,29,Safe,True
2026-05-26 15:49:02,30.5,59.5,31,Safe,True
2026-05-26 15:49:05,30.5,59.7,32,Safe,True
2026-05-26 15:49:09,30.5,60,31,Safe,True
2026-05-26 15:49:13,30.4,59.9,33,Safe,True
2026-05-26 15:49:16,30.4,59.5,34,Safe,True
2026-05-26 15:49:19,30.3,59.2,34,Safe,True
2026-05-26 15:49:23,30.3,59,32,Safe,False
2026-05-26 15:49:26,30.2,59,32,Safe,False
2026-05-26 15:49:29,30.2,58.9,73,Safe,True
2026-05-26 15:49:33,30.1,58.9,30,Safe,False
2026-05-26 15:49:36,30.1,58.9,11,Safe,True
2026-05-26 15:49:39,30.1,61.7,48,Safe,False
2026-05-26 15:49:43,30,65.1,34,Safe,False
2026-05-26 15:49:46,30,66.8,34,Safe,False
2026-05-26 15:49:49,30,65.3,35,Safe,False
2026-05-26 15:49:53,30,63.9,34,Safe,False
2026-05-26 15:49:56,30,62.8,35,Safe,False
2026-05-26 15:49:59,29.9,62,35,Safe,False
2026-05-26 15:50:03,29.9,61.4,33,Safe,False
2026-05-26 15:50:06,29.9,60.9,38,Safe,False
2026-05-26 15:50:10,29.9,60.6,36,Safe,False
2026-05-26 15:50:13,29.8,60.4,36,Safe,False
2026-05-26 15:50:16,29.8,60.7,38,Safe,False
2026-05-26 15:50:20,29.8,60.8,35,Safe,False
2026-05-26 15:50:23,29.7,60.6,33,Safe,False
2026-05-26 15:50:27,29.7,60.4,35,Safe,False
2026-05-26 15:50:30,29.7,60.4,35,Safe,False
2026-05-26 15:50:33,29.6,60.4,34,Safe,False
2026-05-26 15:50:37,29.6,60.4,41,Safe,False
2026-05-26 15:50:41,29.6,60.2,34,Safe,False
2026-05-26 15:50:44,29.5,60.2,36,Safe,False
2026-05-26 15:50:47,29.5,60.2,34,Safe,False
2026-05-26 15:50:51,29.5,60.3,34,Safe,False
2026-05-26 15:50:54,29.5,60.4,35,Safe,False
2026-05-26 15:50:58,29.4,60.7,34,Safe,False
2026-05-26 15:51:01,29.4,60.7,37,Safe,False
2026-05-26 15:51:04,29.4,60.8,36,Safe,False
2026-05-26 15:51:08,29.4,60.9,35,Safe,False
2026-05-26 15:51:11,29.4,60.9,34,Safe,False
2026-05-26 15:51:15,29.4,60.9,34,Safe,False
2026-05-26 15:51:18,29.3,60.9,37,Safe,False
2026-05-26 15:51:22,29.3,60.9,33,Safe,False
2026-05-26 15:51:25,29.3,61,16,Safe,False
2026-05-26 15:51:29,29.3,61,32,Safe,False
2026-05-26 15:51:32,29.3,61,35,Safe,False
2026-05-26 15:51:36,29.3,61,33,Safe,False
2026-05-26 15:51:39,29.3,60.9,29,Safe,False
2026-05-26 15:51:42,29.3,61,25,Safe,False
2026-05-26 15:51:45,29.3,61,26,Safe,False
2026-05-26 15:51:49,29.2,61.1,27,Safe,False
2026-05-26 15:51:52,29.2,61.1,22,Safe,False
2026-05-26 15:51:55,29.2,61.1,26,Safe,False
2026-05-26 15:51:59,29.2,61.1,28,Safe,False
2026-05-26 15:52:02,29.2,61.2,25,Safe,False
2026-05-26 15:52:06,29.2,61.4,25,Safe,False
2026-05-26 15:52:09,29.2,61.5,26,Safe,False
2026-05-26 15:52:12,29.2,61.6,27,Safe,False
2026-05-26 15:52:15,29.1,61.6,25,Safe,False
2026-05-26 15:52:19,29.1,61.6,27,Safe,False
2026-05-26 15:52:22,29.1,61.6,28,Safe,False
2026-05-26 15:52:25,29.1,61.6,11,Safe,True
2026-05-26 15:52:29,29.1,61.6,25,Safe,False
2026-05-26 15:52:33,29.1,61.7,23,Safe,False
2026-05-26 15:52:36,29,61.6,26,Safe,False
2026-05-26 15:52:40,29,61.7,29,Safe,False
2026-05-26 15:52:43,29,61.7,30,Safe,False
2026-05-26 15:52:47,29,61.7,27,Safe,False
2026-05-26 15:52:50,29,61.7,27,Safe,False
2026-05-26 15:52:54,29,61.7,26,Safe,False
2026-05-26 15:52:57,29,61.7,25,Safe,False
2026-05-26 15:53:00,29,61.8,23,Safe,False
2026-05-26 15:53:04,29,61.9,30,Safe,False
2026-05-26 15:53:07,29,61.9,27,Safe,False
2026-05-26 15:53:10,29,61.9,30,Safe,False
2026-05-26 15:53:13,28.9,62,31,Safe,False
2026-05-26 15:53:17,28.9,62,31,Safe,False
2026-05-26 15:53:20,28.9,62,32,Safe,False
2026-05-26 15:53:24,28.9,62.1,80,Safe,True
2026-05-26 15:53:27,28.9,62.2,33,Safe,False
2026-05-26 15:53:30,28.9,62.1,18,Safe,False
2026-05-26 15:53:33,28.9,62,35,Safe,False
2026-05-26 15:53:37,28.9,62,32,Safe,False
2026-05-26 15:53:40,28.9,62,35,Safe,False
2026-05-26 15:53:43,28.9,62,34,Safe,False
2026-05-26 15:53:46,28.9,62,36,Safe,False
2026-05-26 15:53:50,28.9,61.9,34,Safe,False
2026-05-26 15:53:53,28.9,61.9,33,Safe,False
2026-05-26 15:53:57,28.9,61.9,35,Safe,False
2026-05-26 15:54:00,28.9,61.9,9,Safe,False
2026-05-26 15:54:04,28.9,62,38,Safe,False
2026-05-26 15:54:07,28.8,62,32,Safe,False
2026-05-26 15:54:10,28.8,62,91,Safe,True
2026-05-26 15:54:14,28.8,62.2,36,Safe,False
2026-05-26 15:54:17,28.8,62.3,30,Safe,False
2026-05-26 15:54:20,28.8,62.4,36,Safe,False
2026-05-26 15:54:24,28.8,62.5,34,Safe,False
2026-05-26 15:54:27,28.8,62.5,33,Safe,False
2026-05-26 15:54:30,28.8,62.4,35,Safe,False
2026-05-26 15:54:34,28.8,62.4,38,Safe,False
2026-05-26 15:54:38,28.8,63,35,Safe,False
2026-05-26 15:54:41,28.9,64,37,Safe,False
2026-05-26 15:54:56,28.9,64.4,35,Safe,False
2026-05-26 15:54:59,28.9,63.1,38,Safe,False
2026-05-26 15:55:03,28.9,62.9,42,Safe,False
2026-05-26 15:55:06,28.9,62.7,37,Safe,False
2026-05-26 15:55:10,28.9,62.7,38,Safe,False
2026-05-26 15:55:14,28.8,62.5,41,Safe,False
2026-05-26 15:55:17,28.8,62.4,32,Safe,False
2026-05-26 15:55:21,28.8,63.3,33,Safe,False
2026-05-26 15:55:24,28.8,63.4,32,Safe,False
2026-05-26 15:55:28,28.8,63.1,35,Safe,False
2026-05-26 15:55:31,28.8,63.2,42,Safe,False
2026-05-26 15:55:35,28.9,63.2,36,Safe,False
2026-05-26 15:55:38,28.8,63.3,32,Safe,False
2026-05-26 15:55:42,28.9,63,34,Safe,False
2026-05-26 15:55:45,28.8,63,32,Safe,False
2026-05-26 15:55:48,28.8,63,34,Safe,False
2026-05-26 15:55:52,28.8,62.9,34,Safe,False
2026-05-26 15:55:55,28.8,63,34,Safe,False
2026-05-26 15:55:59,28.9,63.6,56,Safe,False
2026-05-26 15:56:02,28.8,63.5,33,Safe,False
2026-05-26 15:56:06,28.8,63.3,34,Safe,False
2026-05-26 15:56:09,28.8,63.1,32,Safe,False
2026-05-26 15:56:12,28.8,63,33,Safe,False
2026-05-26 15:56:16,28.8,62.9,35,Safe,False
2026-05-26 15:56:19,28.8,62.8,35,Safe,False
2026-05-26 15:56:22,28.8,62.7,31,Safe,False
2026-05-26 15:56:26,28.8,62.7,29,Safe,False
2026-05-26 15:56:29,28.8,62.6,33,Safe,False
2026-05-26 15:56:32,28.8,62.5,33,Safe,False
2026-05-26 15:56:35,28.8,62.5,19,Safe,False
2026-05-26 15:56:39,28.8,62.5,31,Safe,False
2026-05-26 15:56:42,28.8,62.5,32,Safe,False
2026-05-26 15:56:46,28.8,62.5,34,Safe,False
2026-05-26 15:56:49,28.8,62.5,30,Safe,False
2026-05-26 15:56:52,28.8,62.4,32,Safe,False
2026-05-26 15:56:56,28.8,62.5,34,Safe,False
2026-05-26 15:57:00,28.8,62.5,34,Safe,False
2026-05-26 15:57:03,28.8,62.5,33,Safe,False
2026-05-26 15:57:07,28.8,62.8,29,Safe,False
2026-05-26 15:57:11,28.8,62.9,33,Safe,False
2026-05-26 15:57:14,28.8,62.9,32,Safe,False
2026-05-26 15:57:18,28.8,62.9,34,Safe,False
